Year,State Name,Dist Name,ANNUAL RAINFALL (Millimeters)
1974,Madhya Pradesh,Chhindwara,966.2
1975,Madhya Pradesh,Chhindwara,1131.5
1976,Madhya Pradesh,Chhindwara,979.6
1977,Madhya Pradesh,Chhindwara,1376.9
1978,Madhya Pradesh,Chhindwara,1247.1
1979,Madhya Pradesh,Chhindwara,913
1980,Madhya Pradesh,Chhindwara,845.9
1981,Madhya Pradesh,Chhindwara,1243.4
1982,Madhya Pradesh,Chhindwara,1004.4
1983,Madhya Pradesh,Chhindwara,1348.6
1984,Madhya Pradesh,Chhindwara,1243.4
1985,Madhya Pradesh,Chhindwara,997.1
1986,Madhya Pradesh,Chhindwara,1183.9
1987,Madhya Pradesh,Chhindwara,907.5
1988,Madhya Pradesh,Chhindwara,1138.3
1989,Madhya Pradesh,Chhindwara,1006.3
1990,Madhya Pradesh,Chhindwara,1972.9
1991,Madhya Pradesh,Chhindwara,783
1992,Madhya Pradesh,Chhindwara,999.5
1993,Madhya Pradesh,Chhindwara,1367
1994,Madhya Pradesh,Chhindwara,1529.8
1995,Madhya Pradesh,Chhindwara,962.4
1996,Madhya Pradesh,Chhindwara,849.2
1997,Madhya Pradesh,Chhindwara,1549.7
1998,Madhya Pradesh,Chhindwara,1056.8
1999,Madhya Pradesh,Chhindwara,1439.2
2000,Madhya Pradesh,Chhindwara,696.8
2001,Madhya Pradesh,Chhindwara,816.9
2002,Madhya Pradesh,Chhindwara,930.9
2003,Madhya Pradesh,Chhindwara,1150.4
2004,Madhya Pradesh,Chhindwara,574.5
2005,Madhya Pradesh,Chhindwara,1212
2006,Madhya Pradesh,Chhindwara,1093.5
2007,Madhya Pradesh,Chhindwara,927.5
2008,Madhya Pradesh,Chhindwara,668
2009,Madhya Pradesh,Chhindwara,1162.3
2012,Madhya Pradesh,Chhindwara,1078.7
2013,Madhya Pradesh,Chhindwara,1408
2014,Madhya Pradesh,Chhindwara,807
2015,Madhya Pradesh,Chhindwara,1133.3
1966,Madhya Pradesh,Narsinghpur,741.9
1967,Madhya Pradesh,Narsinghpur,1236.6
1968,Madhya Pradesh,Narsinghpur,977.6
1969,Madhya Pradesh,Narsinghpur,1235.9
1970,Madhya Pradesh,Narsinghpur,1719.4
1971,Madhya Pradesh,Narsinghpur,1436
1972,Madhya Pradesh,Narsinghpur,1234.6
1973,Madhya Pradesh,Narsinghpur,1692.5
1974,Madhya Pradesh,Narsinghpur,1212.9
1975,Madhya Pradesh,Narsinghpur,1630.9
1976,Madhya Pradesh,Narsinghpur,1254.5
1977,Madhya Pradesh,Narsinghpur,1861.4
1978,Madhya Pradesh,Narsinghpur,1395.1
1979,Madhya Pradesh,Narsinghpur,865.9
1980,Madhya Pradesh,Narsinghpur,1409.5
1981,Madhya Pradesh,Narsinghpur,1043.3
1982,Madhya Pradesh,Narsinghpur,1324.4
1983,Madhya Pradesh,Narsinghpur,1266.7
1984,Madhya Pradesh,Narsinghpur,1065.5
1985,Madhya Pradesh,Narsinghpur,1124.8
1986,Madhya Pradesh,Narsinghpur,1096.4
1987,Madhya Pradesh,Narsinghpur,890.6
1988,Madhya Pradesh,Narsinghpur,1007.2
1989,Madhya Pradesh,Narsinghpur,993.1
1990,Madhya Pradesh,Narsinghpur,1266.3
1991,Madhya Pradesh,Narsinghpur,943.5
1992,Madhya Pradesh,Narsinghpur,968.8
1993,Madhya Pradesh,Narsinghpur,1107.8
1994,Madhya Pradesh,Narsinghpur,1862.2
1995,Madhya Pradesh,Narsinghpur,731
1996,Madhya Pradesh,Narsinghpur,677.5
1997,Madhya Pradesh,Narsinghpur,1225.7
1998,Madhya Pradesh,Narsinghpur,1014.4
1999,Madhya Pradesh,Narsinghpur,1926.4
2000,Madhya Pradesh,Narsinghpur,823
2001,Madhya Pradesh,Narsinghpur,1138.3
2002,Madhya Pradesh,Narsinghpur,963.4
2003,Madhya Pradesh,Narsinghpur,1128.7
2004,Madhya Pradesh,Narsinghpur,1156.4
2005,Madhya Pradesh,Narsinghpur,1585.6
2006,Madhya Pradesh,Narsinghpur,1084.4
2007,Madhya Pradesh,Narsinghpur,899.8
2008,Madhya Pradesh,Narsinghpur,947.4
2009,Madhya Pradesh,Narsinghpur,1163
2012,Madhya Pradesh,Narsinghpur,1039.5
2013,Madhya Pradesh,Narsinghpur,1821
2014,Madhya Pradesh,Narsinghpur,915.2
2015,Madhya Pradesh,Narsinghpur,1006.1
1966,Madhya Pradesh,Seoni / Shivani,979.9
1967,Madhya Pradesh,Seoni / Shivani,1549.4
1968,Madhya Pradesh,Seoni / Shivani,1306.2
1969,Madhya Pradesh,Seoni / Shivani,1160.8
1970,Madhya Pradesh,Seoni / Shivani,1900.7
1971,Madhya Pradesh,Seoni / Shivani,1385.3
1972,Madhya Pradesh,Seoni / Shivani,925.7
1973,Madhya Pradesh,Seoni / Shivani,1362.4
1974,Madhya Pradesh,Seoni / Shivani,1208.2
1975,Madhya Pradesh,Seoni / Shivani,1236.5
1976,Madhya Pradesh,Seoni / Shivani,1119.9
1977,Madhya Pradesh,Seoni / Shivani,1501.8
1978,Madhya Pradesh,Seoni / Shivani,958.1
1979,Madhya Pradesh,Seoni / Shivani,1026.9
1980,Madhya Pradesh,Seoni / Shivani,1009.4
1981,Madhya Pradesh,Seoni / Shivani,1269.8
1982,Madhya Pradesh,Seoni / Shivani,1140.8
1983,Madhya Pradesh,Seoni / Shivani,1310
1984,Madhya Pradesh,Seoni / Shivani,1002.1
1985,Madhya Pradesh,Seoni / Shivani,771.7
